title,rating,year,poster_path,overview
Conversando sobre Round 6,8.8,2025,/wwqUmwS4zBIpE5mSlkBXp8zSPud.jpg,Assista à conversa com o diretor e o elenco de Round 6. Reviva momentos marcantes e ouça histórias inéditas sobre tudo o que viveram juntos.
Vida Após a Luta,7.1,2024,/uKWAk4BHzyEOMmLKUDXoIAPhH36.jpg,"O campeão mundial aposentado de artes marciais, Alex Faulkner, se estabeleceu em uma vida simples, quando o desaparecimento de dois de seus alunos leva a uma descoberta impensável perto de casa."
O Esquema Fenício,6.8,2025,/jtEqpy0K1iVuCebRwWqT6BZ6jLN.jpg,"O excêntrico magnata Zsa-zsa Korda já sobreviveu a seis acidentes de avião e é pai de nove filhos homens e uma única menina, a freira Liesl. Ele determina que ela seja a única herdeira de seu patrimônio, mas antes, pede a ajuda da filha para garantir que seu projeto de vida saia do papel, o ""Korda Land and Sea Phoenician Infrasctructure Scheme"". Agora, eles precisarão viajar pelo mundo acompanhados pelo ingênuo tutor Bjorn negociar com empresários, empreiteiros e criminosos perigosos, confundindo-os sobre suas intenções para afastá-los do esquema."
Deadpool & Wolverine,7.6,2024,/xq4v7JE8niZ75OYYPDGNn6Gzpyt.jpg,"Um apático Wade Wilson trabalha duro na vida civil. Seus dias como mercenário moralmente flexível, Deadpool, ficaram para trás. Quando seu planeta enfrenta uma ameaça, Wade deve relutantemente vestir-se novamente com um ainda mais relutante... relutante? Mais relutante? Ele deve convencer um Wolverine relutante em... Porra. As sinopses são tão estúpidas."
Mikaela,6.2,2025,/u6wH4qL0Hi611QoChzFXm7KoHYY.jpg,"Quando uma nevasca bloqueia uma estrada, uma gangue de ladrões aproveita para roubar um carro-forte, estragando a noite de um policial que só queria chegar em casa."
Nas Terras Perdidas,6.5,2025,/c3gA6bnnsXG2JoHBBkXsD6w6emm.jpg,"Uma rainha, desesperada para ganhar o dom da mudança de forma, toma uma atitude ousada: contrata a feiticeira Gray Alys, uma mulher tão temida quanto poderosa. Enviada para a selva fantasmagórica das Terras Perdidas, Alys e seu guia, o andarilho Boyce, devem enganar e lutar contra o homem e o diabo em uma fábula que explora a natureza do bem e do mal, da dívida e da satisfação, do amor e da perda."
Een schitterend gebrek,6.9,2024,/9iHnoiriinpmYHPqprPrnHozU1L.jpg,"A história apaixonante da vida e do amor de Lucia, uma renomada cortesã mascarada que é a exceção à regra."
Mufasa: O Rei Leão,7.4,2024,/iMVuv6Gz5fj7vZ51IjRF3AiW87y.jpg,"Acompanhe a história épica da ascensão improvável do amado rei das Terras do Reino. Órfão e sozinho, Mufasa se perde até encontrar Taka, herdeiro de uma linhagem real. Isso dá início a uma jornada épica que testa os laços entre os dois enquanto enfrentam um inimigo mortal."
Alguém Especial como Você,7.2,2025,/wgWAr8PZ2j5H3CmusD8RzpVFwxb.jpg,"Shrirenu segue as tradições. Madhu é livre, leve e solta. Quando os dois se encontram, começa um romance fofo, mas meio desajeitado e marcado pelo patriarcado."
Until Dawn: Noite de Terror,6.6,2025,/mUSwXnXI2uZbE7ymwTK28S6QzD1.jpg,"Um ano após o misterioso desaparecimento de sua irmã Melanie, Clover e seus amigos partem para o vale remoto onde o desaparecimento aconteceu em busca de respostas. Ao explorarem um centro de visitantes abandonado, eles acabam sendo caçados por um assassino mascarado e mortos brutalmente um a um... apenas para acordarem no dia seguinte e se encontrarem novamente no começo da mesma tarde. Presos no vale, eles são forçados a reviverem a mesma noite de novo e de novo, com a única mudança sendo a ameaça assassina, cada vez mais assustadora que a última. Com as esperanças no fim, o grupo logo percebe que eles têm apenas mais um limitado número de mortes disponível, e que a única maneira de escaparem é se sobreviverem até o amanhecer."
Kung Fu Panda 4,7.1,2024,/vU5MZaZfdl6P7SRHGjpWYiNYa1t.jpg,"Po está prestes a se tornar o novo líder espiritual do Vale da Paz, mas antes que possa fazer isso, ele deve encontrar um sucessor para se tornar o novo Dragão Guerreiro.  Ele parece encontrar uma em Zhen, uma raposa com muitas habilidades promissoras, mas que não gosta muito da ideia de Po treiná-la."
A Substância,7.1,2024,/6L3PfQEydRzONYrhtpWtchRhOuV.jpg,"Uma estrela em declínio descobre uma substância misteriosa que lhe permite criar uma versão mais jovem e perfeita de si mesma. No entanto, o que parece ser uma solução milagrosa para recuperar sua glória logo se transforma em um pesadelo perturbador quando as consequências desta decisão começam a se manifestar de formas sombrias e irreversíveis."
Misericórdia,6.3,2024,/dgnhWmNOdtfVyhUwC5DTwXgcELc.jpg,"Jérémie volta à sua cidade natal para o funeral do seu primeiro patrão, o padeiro do vilarejo. Ao chegar, ele decide permanecer por mais algum tempo ao lado de Martine, a viúva do homem. Essa presença, no entanto, acaba perturbando o ambiente ao criar uma desavença com o filho da mulher, Vincent. Um misterioso desaparecimento, um vizinho ameaçador e o padre local com estranhas intenções fazem a estadia de Jérémie tomar um rumo inesperado."
Interestelar,8.5,2014,/nCbkOyOMTEwlEV0LtCOvCnwEONA.jpg,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar."
365 Dias: Hoje,5.9,2022,/3104lH1U1XfUXo0ZLawnIjXS0NC.jpg,"Em 365 Dias: Hoje, após os acontecimentos de 365 Dias, Laura Biel se casa com Don Massimo, o chefe da máfia siciliana que a sequestrou. Sua vida parece um conto de fadas: ela tem um marido amoroso, uma casa linda e um bebê a caminho. Mas Massimo tem muitos inimigos, e eles sabem que a melhor maneira de lhe causar dor é ferir aqueles que ama. Depois de um mal-entendido conjugal, Laura e sua melhor amiga, Olga, fogem da Sicília para a Polônia natal. Mas sem a proteção do marido, Laura é sequestrada por Marcelo ""Nacho"" Matos, filho do chefe da máfia rival, e levada para as Ilhas Canárias pela máfia espanhola. Agora Massimo moverá qualquer montanha para resgatá-la. Mas o que o chefe da máfia siciliana não espera é que Laura começa a ter sentimentos pelo seu raptor, lindo e extremamente perigoso, enquanto é mantida refém."
